Tree,Elevation,Length,seg_num,branch_num
12,549,17,1,8
12,549,22,5,9
12,549,28,4,9
12,549,24,3,9
12,549,18,2,9
12,549,19,1,9
12,549,20,5,10
12,549,19,4,10
12,549,27,3,10
12,549,22,2,10
12,549,23,1,10
13,547,11,5,1
13,547,21,4,1
13,547,11,3,1
13,547,8,2,1
13,547,6,1,1
13,547,12,5,2
13,547,10,4,2
13,547,10,3,2
13,547,10,2,2
13,547,12,1,2
13,547,5,5,3
13,547,9,4,3
13,547,8,3,3
13,547,10,2,3
13,547,12,1,3
13,547,10,5,4
13,547,7,4,4
13,547,9,3,4
13,547,10,2,4
13,547,9,1,4
13,547,11,5,5
13,547,7,4,5
13,547,9,3,5
13,547,7,2,5
13,547,11,1,5
13,547,11,5,6
13,547,8,4,6
13,547,11,3,6
13,547,22,2,6
13,547,6,1,6
13,547,13,5,7
13,547,10,4,7
13,547,10,3,7
13,547,9,2,7
13,547,9,1,7
13,547,10,5,8
13,547,12,4,8
13,547,9,3,8
13,547,9,2,8
13,547,11,1,8
13,547,10,5,9
13,547,14,4,9
13,547,11,3,9
13,547,8,2,9
13,547,6,1,9
13,547,9,5,10
13,547,8,4,10
13,547,8,3,10
13,547,22,2,10
13,547,12,1,10
14,542,29,5,1
14,542,22,4,1
14,542,17,3,1
14,542,26,2,1
14,542,16,1,1
14,542,22,5,2
14,542,17,4,2
14,542,36,3,2
14,542,14,2,2
14,542,26,1,2
14,542,24,5,3
14,542,36,4,3
14,542,21,3,3
14,542,22,2,3
14,542,20,1,3
14,542,24,5,4
14,542,36,4,4
14,542,21,3,4
14,542,22,2,4
14,542,20,1,4
14,542,8,5,5
14,542,25,4,5
14,542,32,3,5
14,542,14,2,5
14,542,20,1,5
14,542,20,5,6
14,542,26,4,6
14,542,17,3,6
14,542,19,2,6
14,542,10,1,6
14,542,21,5,7
14,542,27,4,7
14,542,15,3,7
14,542,20,2,7
14,542,18,1,7
14,542,14,5,8
14,542,33,4,8
14,542,12,3,8
14,542,16,2,8
14,542,18,1,8
14,542,22,5,9
14,542,31,4,9
14,542,22,3,9
14,542,17,2,9
14,542,21,1,9
14,542,34,5,10
14,542,23,4,10
14,542,34,3,10
14,542,16,2,10
14,542,15,1,10
15,540,20,5,1
15,540,14,4,1
15,540,18,3,1
15,540,30,2,1
15,540,20,1,1
15,540,21,5,2
15,540,20,4,2
15,540,12,3,2
15,540,18,2,2
15,540,6,1,2
